xang_sect,yang_sect,xang_rel,yang_rel,x_rec,y_rec,type,misc,out1,out2,xang_total,yang_total,x_px,y_px,xang,yang
-15,-80,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
-15,-80,0,-5,,,ref_point,,,,,,,,,
-15,-80,0,-10,,,ref_point,,,,,,,,,
-15,-80,0,-15,,,ref_point,,,,,,,,,
-15,-80,-5,0,,,ref_point,,,,,,,,,
-15,-80,-5,-5,,,ref_point,,,,,,,,,
-15,-80,-5,-10,,,ref_point,,,,,,,,,
-15,-80,-5,-15,,,ref_point,,,,,,,,,
-15,-80,-10,0,,,ref_point,,,,,,,,,
-15,-80,-10,-5,,,ref_point,,,,,,,,,
-15,-80,-10,-10,,,ref_point,,,,,,,,,
-15,-80,-10,-15,,,ref_point,,,,,,,,,
-30,0,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
-30,0,0,0,55,2000,align,target_center,,,,,,,,
-30,0,0,0,55,1983,align,target_top,,,,,,,,
-30,0,0,0,55,2018,align,target_bottom,,,,,,,,
-30,0,0,0,34,1999,align,target_left,,,,,,,,
-30,0,0,0,76,2000,align,target_right,,,,,,,,
-30,0,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
-30,0,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
-30,0,0,-20,35,2747,align,vertical_left,,,,,,,,
-30,0,0,-20,81,2741,align,vertical_right,,,,,,,,
-30,0,0,-20,57,2743,ref_point,center,,,,,,,,
-30,0,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
-30,0,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
-30,0,-15,0,,,align,horizontal_top,,,,,,,,
-30,0,-15,0,,,align,horizontal_bottom,,,,,,,,
-30,0,-15,0,,,ref_point,center,,,,,,,,
-30,0,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
-30,0,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
-30,0,0,-5,56,2179,ref_point,,,,,,,,,
-30,0,0,-10,57,2362,ref_point,,,,,,,,,
-30,0,0,-15,58,2548,ref_point,,,,,,,,,
-30,0,-5,0,,,ref_point,,,,,,,,,
-30,0,-5,-5,,,ref_point,,,,,,,,,
-30,0,-5,-10,,,ref_point,,,,,,,,,
-30,0,-5,-15,,,ref_point,,,,,,,,,
-30,0,-10,0,,,ref_point,,,,,,,,,
-30,0,-10,-5,,,ref_point,,,,,,,,,
-30,0,-10,-10,,,ref_point,,,,,,,,,
-30,0,-10,-15,,,ref_point,,,,,,,,,
-30,-20,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
-30,-20,0,0,,,align,target_center,,,,,,,,
-30,-20,0,0,,,align,target_top,,,,,,,,
-30,-20,0,0,,,align,target_bottom,,,,,,,,
-30,-20,0,0,,,align,target_left,,,,,,,,
-30,-20,0,0,,,align,target_right,,,,,,,,
-30,-20,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
-30,-20,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
-30,-20,0,-20,,,align,vertical_left,,,,,,,,
-30,-20,0,-20,,,align,vertical_right,,,,,,,,
-30,-20,0,-20,,,ref_point,center,,,,,,,,
-30,-20,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
-30,-20,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
-30,-20,-15,0,,,align,horizontal_top,,,,,,,,
-30,-20,-15,0,,,align,horizontal_bottom,,,,,,,,
-30,-20,-15,0,,,ref_point,center,,,,,,,,
-30,-20,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
-30,-20,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
-30,-20,0,-5,,,ref_point,,,,,,,,,
-30,-20,0,-10,,,ref_point,,,,,,,,,
-30,-20,0,-15,,,ref_point,,,,,,,,,
-30,-20,-5,0,,,ref_point,,,,,,,,,
-30,-20,-5,-5,,,ref_point,,,,,,,,,
-30,-20,-5,-10,,,ref_point,,,,,,,,,
-30,-20,-5,-15,,,ref_point,,,,,,,,,
-30,-20,-10,0,,,ref_point,,,,,,,,,
-30,-20,-10,-5,,,ref_point,,,,,,,,,
-30,-20,-10,-10,,,ref_point,,,,,,,,,
-30,-20,-10,-15,,,ref_point,,,,,,,,,
-30,-40,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
-30,-40,0,0,,,align,target_center,,,,,,,,
-30,-40,0,0,,,align,target_top,,,,,,,,
-30,-40,0,0,,,align,target_bottom,,,,,,,,
-30,-40,0,0,,,align,target_left,,,,,,,,
-30,-40,0,0,,,align,target_right,,,,,,,,
-30,-40,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
-30,-40,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
-30,-40,0,-20,,,align,vertical_left,,,,,,,,
-30,-40,0,-20,,,align,vertical_right,,,,,,,,
-30,-40,0,-20,,,ref_point,center,,,,,,,,
-30,-40,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
-30,-40,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
-30,-40,-15,0,,,align,horizontal_top,,,,,,,,
-30,-40,-15,0,,,align,horizontal_bottom,,,,,,,,
-30,-40,-15,0,,,ref_point,center,,,,,,,,
-30,-40,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
-30,-40,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
-30,-40,0,-5,,,ref_point,,,,,,,,,
-30,-40,0,-10,,,ref_point,,,,,,,,,
-30,-40,0,-15,,,ref_point,,,,,,,,,
-30,-40,-5,0,,,ref_point,,,,,,,,,
-30,-40,-5,-5,,,ref_point,,,,,,,,,
-30,-40,-5,-10,,,ref_point,,,,,,,,,
-30,-40,-5,-15,,,ref_point,,,,,,,,,
-30,-40,-10,0,,,ref_point,,,,,,,,,
-30,-40,-10,-5,,,ref_point,,,,,,,,,
-30,-40,-10,-10,,,ref_point,,,,,,,,,
-30,-40,-10,-15,,,ref_point,,,,,,,,,
-30,-60,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
-30,-60,0,0,,,align,target_center,,,,,,,,
-30,-60,0,0,,,align,target_top,,,,,,,,
-30,-60,0,0,,,align,target_bottom,,,,,,,,
-30,-60,0,0,,,align,target_left,,,,,,,,
-30,-60,0,0,,,align,target_right,,,,,,,,
-30,-60,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
-30,-60,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
-30,-60,0,-20,,,align,vertical_left,,,,,,,,
-30,-60,0,-20,,,align,vertical_right,,,,,,,,
-30,-60,0,-20,,,ref_point,center,,,,,,,,
-30,-60,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
-30,-60,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
-30,-60,-15,0,,,align,horizontal_top,,,,,,,,
-30,-60,-15,0,,,align,horizontal_bottom,,,,,,,,
-30,-60,-15,0,,,ref_point,center,,,,,,,,
-30,-60,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
-30,-60,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
-30,-60,0,-5,,,ref_point,,,,,,,,,
-30,-60,0,-10,,,ref_point,,,,,,,,,
-30,-60,0,-15,,,ref_point,,,,,,,,,
-30,-60,-5,0,,,ref_point,,,,,,,,,
-30,-60,-5,-5,,,ref_point,,,,,,,,,
-30,-60,-5,-10,,,ref_point,,,,,,,,,
-30,-60,-5,-15,,,ref_point,,,,,,,,,
-30,-60,-10,0,,,ref_point,,,,,,,,,
-30,-60,-10,-5,,,ref_point,,,,,,,,,
-30,-60,-10,-10,,,ref_point,,,,,,,,,
-30,-60,-10,-15,,,ref_point,,,,,,,,,
-30,-80,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
-30,-80,0,0,,,align,target_center,,,,,,,,
-30,-80,0,0,,,align,target_top,,,,,,,,
-30,-80,0,0,,,align,target_bottom,,,,,,,,
-30,-80,0,0,,,align,target_left,,,,,,,,
-30,-80,0,0,,,align,target_right,,,,,,,,
-30,-80,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
-30,-80,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
-30,-80,0,-20,,,align,vertical_left,,,,,,,,
-30,-80,0,-20,,,align,vertical_right,,,,,,,,
